stock_code,stock_name,stock_full_name,category
0007,PUC,PUC BERHAD,TELECOMMUNICATIONS & MEDIA
6807,PUNCAK,PUNCAK NIAGA HOLDINGS BHD,CONSTRUCTION
7134,PWF,PWF CORPORATION BERHAD,CONSUMER PRODUCTS & SERVICES
7123,PWORTH,PRICEWORTH INTERNATIONAL BHD,INDUSTRIAL PRODUCTS & SERVICES
7237,PWROOT,POWER ROOT BERHAD,CONSUMER PRODUCTS & SERVICES
0217,PWRWELL,POWERWELL HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0196,QES,QES GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7084,QL,QL RESOURCES BHD,CONSUMER PRODUCTS & SERVICES
7544,QUALITY,QUALITY CONCRETE HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
5313,RADIUM,RADIUM DEVELOPMENT BERHAD,PROPERTY
7498,RALCO,RALCO CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES
0236,RAMSSOL,RAMSSOL GROUP BERHAD,TECHNOLOGY
5272,RANHILL,RANHILL UTILITIES BERHAD,UTILITIES
7765,RAPID,RAPID SYNERGY BHD,PROPERTY
9296,RCECAP,RCE CAPITAL BHD,FINANCIAL SERVICES
5256,REACH,REACH ENERGY BHD,ENERGY
03002,REDIDEA,RED IDEAS HOLDINGS BERHAD,TECHNOLOGY
0032,REDTONE,REDTONE DIGITAL BERHAD,TELECOMMUNICATIONS & MEDIA
0081,REKATECH,REKATECH CAPITAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7130,RENEUCO,RENEUCO BERHAD,CONSUMER PRODUCTS & SERVICES
7232,RESINTC,RESINTECH BHD,INDUSTRIAL PRODUCTS & SERVICES
0200,REVENUE,REVENUE GROUP BERHAD,TECHNOLOGY
9946,REX,REX INDUSTRY BHD,CONSUMER PRODUCTS & SERVICES
9946OR,REX-OR,REX INDUSTRY BERHAD - ORDINARY RIGHTS,CONSUMER PRODUCTS & SERVICES
0106,REXIT,REXIT BHD,TECHNOLOGY
0037,RGB,RGB INTERNATIONAL BHD,CONSUMER PRODUCTS & SERVICES
03052,RGS,RAY GO SOLAR HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
9954,RGTBHD,RGT BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0202,RGTECH,RADIANT GLOBALTECH BERHAD,TECHNOLOGY
1066,RHBBANK,RHB BANK BERHAD,FINANCIAL SERVICES
5278,RHONEMA,RHONE MA HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
7006,RKI,RHONG KHEN INTERNATIONAL BERHAD,CONSUMER PRODUCTS & SERVICES
0219,RL,RESERVOIR LINK ENERGY BHD,ENERGY
9741,ROHAS,ROHAS TECNIC BERHAD,INDUSTRIAL PRODUCTS & SERVICES
03036,RPLANET,REDPLANET BERHAD,TECHNOLOGY
5113,RSAWIT,RIMBUNAN SAWIT BHD,PLANTATION
5270,RSENA,RED SENA BERHAD,SPECIAL PURPOSE ACQUISITION COMPANY
03039,RTSTECH,RTS TECHNOLOGY HOLDINGS BERHAD,TECHNOLOGY
2542,RVIEW,RIVERVIEW RUBBER ESTATES BHD,PLANTATION
8745,S&FCAP,S & F CAPITAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES
5134,SAB,SOUTHERN ACIDS (M) BHD,INDUSTRIAL PRODUCTS & SERVICES
03056,SAFETY,SAFETYWARE GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
8567,SALCON,SALCON BHD,UTILITIES
0183,SALUTE,SALUTICA BERHAD,CONSUMER PRODUCTS & SERVICES
9822,SAM,SAM ENGINEERING & EQUIPMENT,INDUSTRIAL PRODUCTS & SERVICES
9822OR,SAM-OR,SAM ENGINEERING & EQUIPMENT (M) BERHAD - ORDINARY RIGHTS,INDUSTRIAL PRODUCTS & SERVICES
0223,SAMAIDEN,SAMAIDEN GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
5147,SAMCHEM,SAMCHEM HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
03057,SANCY,SANCY BERHAD,TECHNOLOGY
0133,SANICHI,SANICHI TECHNOLOGY BHD,INDUSTRIAL PRODUCTS & SERVICES
7811,SAPIND,SAPURA INDUSTRIAL BHD,INDUSTRIAL PRODUCTS & SERVICES
5218,SAPNRG,SAPURA ENERGY BERHAD,ENERGY
5218PA,SAPNRG-PA,SAPURA ENERGY BERHAD - RCPS-I A 2019/2024,ENERGY
4596,SAPRES,SAPURA RESOURCES BHD,PROPERTY
5252,SASBADI,SASBADI HOLDINGS BHD,TELECOMMUNICATIONS & MEDIA
5157,SAUDEE,SAUDEE GROUP BERHAD,CONSUMER PRODUCTS & SERVICES
2569,SBAGAN,SUNGEI BAGAN RUBBER CO (M) BHD,PLANTATION
5207,SBCCORP,SBC CORPORATION BHD,PROPERTY
0300,SBH,SBH MARINE HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
5170,SCABLE,SARAWAK CABLE BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0109,SCBUILD,SC ESTATE BUILDER BERHAD,CONSTRUCTION
0109OR,SCBUILD-OR,SC ESTATE BUILDER BERHAD - ORDINARY RIGHTS,CONSTRUCTION
0158,SCC,SCC HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
0225,SCGBHD,SOUTHERN CABLE GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7247,SCGM,SCGM BHD,INDUSTRIAL PRODUCTS & SERVICES
9237,SCIB,SARAWAK CONSOLIDATED IND BHD,INDUSTRIAL PRODUCTS & SERVICES
0099,SCICOM,SCICOM (MSC) BHD,INDUSTRIAL PRODUCTS & SERVICES
4731,SCIENTX,SCIENTEX BERHAD,INDUSTRIAL PRODUCTS & SERVICES
8125,SCIPACK,SCIENTEX PACKAGING (AYER KEROH) BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7239,SCNWOLF,SCANWOLF CORPORATION BHD,INDUSTRIAL PRODUCTS & SERVICES
7158,SCOMI,SCOMI GROUP BHD,ENERGY
7045,SCOMIES,SCOMI ENERGY SERVICES BHD,ENERGY
0001,SCOMNET,SUPERCOMNET TECHNOLOGIES BHD,HEALTH CARE
0001WA,SCOMNET-WA,SUPERCOMNET TECHNOLOGIES BERHAD 2019/2024,HEALTH CARE
0028,SCOPE,SCOPE INDUSTRIES BHD,INDUSTRIAL PRODUCTS & SERVICES
5285,SDG,SD GUTHRIE BERHAD,PLANTATION
2224,SDRED,SELANGOR DREDGING BHD,PROPERTY
0212,SDS,SDS GROUP BERHAD,CONSUMER PRODUCTS & SERVICES
7073,SEACERA,SEACERA GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
4286,SEAL,SEAL INCORPORATED BHD,PROPERTY
