stock_code,stock_name,stock_full_name,category
0256,UMC,UMEDIC GROUP BERHAD,HEALTH CARE
2593,UMCCA,UNITED MALACCA BHD,PLANTATION
7137,UMS,UMS HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
7227,UMSNGB,UMS-NEIKEN GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES
4588,UMW,UMW HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES
7091,UNIMECH,UNIMECH GROUP BHD,INDUSTRIAL PRODUCTS & SERVICES
0257,UNIQUE,UNIQUE FIRE HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
5005,UNISEM,UNISEM (M) BHD,TECHNOLOGY
0247,UNITRAD,UNITRADE INDUSTRIES BERHAD,INDUSTRIAL PRODUCTS & SERVICES
03017,UNIWALL,UNI WALL APS HOLDINGS BERHAD,CONSTRUCTION
5200,UOADEV,UOA DEVELOPMENT BERHAD,PROPERTY
5110,UOAREIT,UOA REITS,REAL ESTATE INVESTMENT TRUSTS
7757,UPA,UPA CORPORATION BHD,CONSUMER PRODUCTS & SERVICES
03043,UTAMA,UCI RESOURCES BERHAD,INDUSTRIAL PRODUCTS & SERVICES
2089,UTDPLT,UNITED PLANTATIONS BHD,PLANTATION
5292,UWC,UWC BERHAD,TECHNOLOGY
7250,UZMA,UZMA BHD,ENERGY
5006,VARIA,VARIA BERHAD,CONSTRUCTION
5243,VELESTO,VELESTO ENERGY BERHAD,ENERGY
7165,VELOCITY,VELOCITY CAPITAL PARTNER BERHAD,INDUSTRIAL PRODUCTS & SERVICES
4995,VERSATL,VERSATILE CREATIVE BHD,INDUSTRIAL PRODUCTS & SERVICES
0069,VINVEST,VINVEST CAPITAL HOLDINGS BERHAD,TECHNOLOGY
0120,VIS,VISDYNAMICS HOLDINGS BHD,TECHNOLOGY
0097,VITROX,VITROX CORPORATION BHD,TECHNOLOGY
7070,VIZIONE,VIZIONE HOLDINGS BERHAD,CONSTRUCTION
7070OR,VIZIONE-OR,VIZIONE HOLDINGS BERHAD - ORDINARY RIGHTS,CONSTRUCTION
0273,VLB,VESTLAND BERHAD,CONSTRUCTION
0232,VOLCANO,VOLCANO BERHAD,INDUSTRIAL PRODUCTS & SERVICES
6963,VS,V.S INDUSTRY BHD,INDUSTRIAL PRODUCTS & SERVICES
0066,VSOLAR,VSOLAR GROUP BERHAD,TECHNOLOGY
5162,VSTECS,VSTECS BERHAD,TECHNOLOGY
0102,WAJA,WAJA KONSORTIUM BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7203,WANGZNG,WANG-ZHENG BHD,CONSUMER PRODUCTS & SERVICES
5016,WARISAN,WARISAN TC HOLDINGS BHD,CONSUMER PRODUCTS & SERVICES
5142,WASCO,WASCO BERHAD,ENERGY
7226,WATTA,WATTA HOLDING BHD,INDUSTRIAL PRODUCTS & SERVICES
3565,WCEHB,WCE HOLDINGS BERHAD,CONSTRUCTION
3565PA,WCEHB-PA,WCE HOLDINGS BERHAD - REDEEMABLE CONVERTIBLE PREFERENCE SHARES A,CONSTRUCTION
9679,WCT,WCT HOLDINGS BERHAD,CONSTRUCTION
0197,WEGMANS,WEGMANS HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
7231,WELLCAL,WELLCALL HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
0271,WELLS,WELLSPIRE HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
0298,WENTEL,WENTEL ENGINEERING HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0162,WIDAD,WIDAD GROUP BERHAD,CONSTRUCTION
0008,WILLOW,WILLOWGLEN MSC BHD,TECHNOLOGY
6378,WMG,WMG HOLDINGS BERHAD,PROPERTY
7050,WONG,WONG ENGINEERING CORPORATION,INDUSTRIAL PRODUCTS & SERVICES
7025,WOODLAN,WOODLANDOR HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
5246,WPRTS,WESTPORTS HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS
5009,WTHORSE,WHITE HORSE BHD,INDUSTRIAL PRODUCTS & SERVICES
4243,WTK,WTK HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
5156,XDL,XIDELANG HOLDINGS LTD,CONSUMER PRODUCTS & SERVICES
5267,XINHWA,XIN HWA HOLDINGS BERHAD,TRANSPORTATION & LOGISTICS
7121,XL,XL HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
0165,XOX,XOX BHD,TELECOMMUNICATIONS & MEDIA
0165PA,XOX-PA,XOX BHD - ICPS A 2020/2030,TELECOMMUNICATIONS & MEDIA
0140,XOXNET,XOX NETWORKS BERHAD,CONSUMER PRODUCTS & SERVICES
0017,XOXTECH,XOX TECHNOLOGY BERHAD,TELECOMMUNICATIONS & MEDIA
7003,Y&G,Y&G CORPORATION BHD,PROPERTY
5048,YB,YB VENTURES BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0025,YBS,YBS INTERNATIONAL BERHAD,INDUSTRIAL PRODUCTS & SERVICES
5300,YENHER,YENHER HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
0248,YEWLEE,YEW LEE PACIFIC GROUP BERHAD,INDUSTRIAL PRODUCTS & SERVICES
0086,YGL,YGL CONVERGENCE BHD,TECHNOLOGY
7293,YINSON,YINSON HOLDINGS BHD,ENERGY
7293OR,YINSON-OR,YINSON HOLDINGS BERHAD - ORDINARY RIGHTS,ENERGY
7014,YLI,YLI HOLDINGS BHD,INDUSTRIAL PRODUCTS & SERVICES
3158,YNHPROP,YNH PROPERTY BHD,PROPERTY
5159,YOCB,YOONG ONN CORPORATION BERHAD,CONSUMER PRODUCTS & SERVICES
7066,YONGTAI,YONG TAI BHD,PROPERTY
7066PA,YONGTAI-PA,YONG TAI BERHAD - ICPS 2016/2026,PROPERTY
7178,YSPSAH,Y.S.P.SOUTHEAST ASIA HOLDING,HEALTH CARE
4677,YTL,YTL CORPORATION BHD,UTILITIES
6742,YTLPOWR,YTL POWER INTERNATIONAL BHD,UTILITIES
5109,YTLREIT,YTL HOSPITALITY REIT,REAL ESTATE INVESTMENT TRUSTS
0250,YXPM,YX PRECIOUS METALS BHD,CONSUMER PRODUCTS & SERVICES
0301,ZANTAT,ZANTAT HOLDINGS BERHAD,INDUSTRIAL PRODUCTS & SERVICES
7028,ZECON,ZECON BHD,CONSTRUCTION
2283,ZELAN,ZELAN BHD,CONSTRUCTION
0094,ZENTECH,ZEN TECH INTERNATIONAL BERHAD,TECHNOLOGY
5131,ZHULIAN,ZHULIAN CORPORATION BHD,CONSUMER PRODUCTS & SERVICES
03010,ZWORLD,ZENWORLD HOLDINGS BERHAD,TELECOMMUNICATIONS & MEDIA
0309,AGRICOR,AGRICORE CS HOLDINGS BERHAD,CONSUMER PRODUCTS & SERVICES
0308,KTI,KTI LANDMARK BERHAD,PROPERTY
0311,GOHUB,GO HUB CAPITAL BERHAD,TECHNOLOGY
0085R1,MLAB-R1,MLABS SYSTEMS BERHAD - ORDINARY RIGHTS,TECHNOLOGY
0310,UUE,UUE HOLDINGS BERHAD,CONSTRUCTION
