stock_name,stock_code,is_shariah,category
PENTA,7160,True,Technology Equipment
PETGAS,6033,True,"Gas, Water & Multi-Utilities"
KEINHIN,7199,True,Metals
LIIHEN,7089,True,Houshold Goods
UWC,5292,True,Semiconductors
PANTECH,5125,True,Metals
MCEHLDG,7004,True,Auto Parts
LGMS,0249,True,Digital Services
SCIENTX,4731,True,Packaging Materials
PIE,7095,True,"Industrial Materials, Components & Equipment"
BONIA,9288,True,Personal Goods
KPPROP,7077,True,Property
SKBSHUT,7115,True,Building Materials
JTIASA,4383,True,Plantation
PBBANK,1295,False,Banking
CEB,5311,False,Diversified Industrials
CCIB,03053,True,Consumer Services
MAGNI,7087,True,Personal Goods
CENGILD,0243,True,Health Care Providers
BETA,0263,True,Auto Parts
DKSH,5908,True,Consumer Services
AMEREIT,5307,True,Real Estate Investment Trusts
TOMEI,7230,True,Retailers
SENFONG,5308,True,Industrial Services
QES,0196,True,"Industrial Materials, Components & Equipment"
SIMEPLT,5285,True,Plantation
TASCO,5140,True,Transportation & Logistics Services
ARMADA,5210,False,"Energy, Infrastructure, Equipment & Services"
HHRG,0175,True,"Industrial Materials, Components & Equipment"
CARIMIN,5257,True,"Energy, Infrastructure, Equipment & Services"
MESB,7234,False,Personal Goods
BPPLAS,5100,True,Packaging Materials
KYM,8362,True,Packaging Materials
KITACON,5310,True,Construction
MATRIX,5236,True,Property
YOCB,5159,True,Houshold Goods
SEB,5163,True,Industrial Engineering
AME,5293,True,Construction
INARI,0166,True,Semiconductors
PARAGON,9407,True,Houshold Goods
SLVEST,0215,True,Industrial Services
BERTAM,9814,True,Property
MTAG,0213,True,Industrial Services
KTC,0180,True,Consumer Services
ULICORP,7133,True,"Industrial Materials, Components & Equipment"
DELEUM,5132,True,"Energy, Infrastructure, Equipment & Services"
MFCB,3069,True,Electricity
FCW,2755,False,Houshold Goods
KPJ,5878,True,Health Care Providers
SIME,4197,True,Automotive
IOICORP,1961,True,Plantation
KLCI1XI,0835EA,False,
KERJAYA,7161,True,Construction
PWRWELL,0217,True,"Industrial Materials, Components & Equipment"
INTA,0192,True,Construction
EDARAN,5036,True,Technology Equipment
HLBANK,5819,False,Banking
SUNVIEW,0262,True,Industrial Services
GTRONIC,7022,True,Semiconductors
IBRACO,5084,True,Property
OIB,5827,True,Property
HAPSENG,3034,False,Diversified Industrials
WEGMANS,0197,True,Houshold Goods
PPHB,8273,True,Packaging Materials
MESTRON,0207,True,Metals
DANCO,5276,True,"Industrial Materials, Components & Equipment"
JAYCORP,7152,True,Houshold Goods
SAM,9822,True,"Industrial Materials, Components & Equipment"
HLFG,1082,False,Banking
HEKTAR,5121,False,Real Estate Investment Trusts
TGL,9369,False,Personal Goods
POHKONG,5080,True,Retailers
ESCERAM,0100,True,"Industrial Materials, Components & Equipment"
PANAMY,3719,False,Houshold Goods
TTVHB,0272,True,Semiconductors
OSKVI,0053,False,Other Financials
MARCO,3514,False,Personal Goods
CAMRES,7128,True,Houshold Goods
YTL,4677,False,"Gas, Water & Multi-Utilities"
MAYBANK,1155,False,Banking
RHBBANK,1066,False,Banking
OFI,7107,True,Food & Beverages
CNERGEN,0246,True,Technology Equipment
FIAMMA,6939,True,Houshold Goods
YXPM,0250,True,Personal Goods
BMGREEN,0168,True,"Industrial Materials, Components & Equipment"
FM,7210,True,Transportation & Logistics Services
ABLEGLOB,7167,True,Food & Beverages
PTRANS,0186,True,"Travel, Leisure & Hospitality"
WCEHB,3565,False,Construction
ALSREIT,5269,True,Real Estate Investment Trusts
VIS,0120,False,Semiconductors
YENHER,5300,False,Agricultural Products
PELIKAN,5231,True,Consumer Services
SIGN,7246,True,Houshold Goods
BTECH,0011,True,"Gas, Water & Multi-Utilities"
MUIPROP,3913,True,Property
KIPREIT,5280,False,Real Estate Investment Trusts
CHINHIN,5273,True,Building Materials
T7GLOBAL,7228,True,"Energy, Infrastructure, Equipment & Services"
SCIPACK,8125,True,Packaging Materials
KSL,5038,True,Property
AMBANK,1015,False,Banking
SAMAIDEN,0223,True,Industrial Services
TGUAN,7034,True,Packaging Materials
RGTECH,0202,True,Digital Services
OVH,0220,True,"Energy, Infrastructure, Equipment & Services"
PEKAT,0233,True,Industrial Services
ECOMATE,0239,True,Houshold Goods
HOMERIZ,5160,True,Houshold Goods
CIMB,1023,False,Banking
SPRITZER,7103,True,Food & Beverages
ABMB,2488,False,Banking
DPHARMA,7148,True,Pharmaceuticals
SENHENG,5305,True,Retailers
PAVREIT,5212,False,Real Estate Investment Trusts
DIALOG,7277,True,"Energy, Infrastructure, Equipment & Services"
YSPSAH,7178,True,Pharmaceuticals
TEXCYCL,0089,True,Industrial Services
MOBILIA,0229,True,Houshold Goods
SNOWFIT,03054,True,Houshold Goods
DAYANG,5141,True,"Energy, Infrastructure, Equipment & Services"
LBS,5789,True,Property
PANDA,0290,True,
RAPID,7765,False,Property
TAANN,5012,True,Plantation
ASTRO,6399,False,Media
INNATURE,5295,True,Personal Goods
PETRONM,3042,True,Oil & Gas Producers
AJI,2658,True,Food & Beverages
FIHB,8605,True,Houshold Goods
HAILY,0237,True,Construction
LTKM,7085,True,Agricultural Products
PENERGY,5133,True,"Energy, Infrastructure, Equipment & Services"
APPASIA,0119,False,Software
IRIS,0010,True,Software
MNRB,6459,False,Insurance
PA,7225,True,Metals
VS,6963,True,"Industrial Materials, Components & Equipment"
SWIFT,5303,True,Transportation & Logistics Services
RAMSSOL,0236,True,Software
HCK,7105,True,Property
UNIMECH,7091,True,"Industrial Materials, Components & Equipment"
NOVA,0201,True,Pharmaceuticals
FIBON,0149,False,"Industrial Materials, Components & Equipment"
JCBNEXT,0058,False,Industrial Services
THPLANT,5112,True,Plantation
JFTECH,0146,True,Technology Equipment
IDEAL,9687,True,Property
TANCO,2429,True,Property
ARANK,7214,True,Metals
SWKPLNT,5135,True,Plantation
EDELTEQ,0278,True,Technology Equipment
KUCHAI,2186,False,Other Financials
OSK,5053,False,Property
AEONCR,5139,False,Other Financials
AIRPORT,5014,False,Transportation & Logistics Services
EG,8907,True,"Industrial Materials, Components & Equipment"
CHGP,7187,True,Transportation Equipment
AIMFLEX,0209,True,Technology Equipment
TALIWRK,8524,True,"Gas, Water & Multi-Utilities"
IHH,5225,True,Health Care Providers
LBALUM,9326,True,Metals
SAPIND,7811,True,Auto Parts
3A,0012,True,Food & Beverages
SCOMNET,0001,True,Health Care Equipment & Services
PPJACK,0242,False,Other Financials
ELKDESA,5228,False,Other Financials
PRG,7168,True,Personal Goods
CEKD,0238,True,"Industrial Materials, Components & Equipment"
MAXIM,4022,True,Property
NHFATT,7060,True,Automotive
UZMA,7250,True,"Energy, Infrastructure, Equipment & Services"
KSENG,3476,False,Diversified Industrials
RHONEMA,5278,False,Agricultural Products
MGB,7595,True,Construction
EFORCE,0065,True,Software
KKB,9466,True,Industrial Engineering
MEDIA,4502,False,Media
MINOX,0288,True,
KAWAN,7216,True,Food & Beverages
HSSEB,0185,True,Industrial Engineering
AYER,2305,True,Property
GOLDETF,0828EA,True,Commodity Fund
KUB,6874,True,Industrial Services
MICROLN,0126,True,Digital Services
POHUAT,7088,True,Houshold Goods
CDB,6947,True,Telecommunications Service Providers
SCGBHD,0225,True,"Industrial Materials, Components & Equipment"
HIL,8443,True,Chemicals
SEDANIA,0178,True,Telecommunications Equipment
PWF,7134,True,Agricultural Products
PRIVA,0123,True,Telecommunications Equipment
BIMB,5258,True,Banking
FFB,5306,True,Food & Beverages
PRLEXUS,8966,True,Personal Goods
SOP,5126,True,Plantation
PGF,8117,True,Building Materials
DLADY,3026,True,Food & Beverages
ANALABS,7083,False,Industrial Services
SASBADI,5252,True,Media
SHL,6017,False,Property
MELATI,5129,True,Construction
ORIENT,4006,False,Automotive
FAVCO,7229,True,Industrial Engineering
PERDANA,7108,True,"Energy, Infrastructure, Equipment & Services"
HHHCORP,0160,True,Industrial Services
EPMB,7773,True,Auto Parts
NCT,0056,True,Property
SAMCHEM,5147,True,Chemicals
FPGROUP,5277,True,"Industrial Materials, Components & Equipment"
N2N,0108,True,Software
TECHBND,5289,True,Chemicals
INGENIEU,5178,True,Metals
DSS,0269,True,Packaging Materials
SANCY,03057,True,Software
BIPORT,5032,True,Transportation & Logistics Services
ATRIUM,5130,False,Real Estate Investment Trusts
RL,0219,True,"Energy, Infrastructure, Equipment & Services"
CHINTEK,1929,False,Plantation
SUNREIT,5176,False,Real Estate Investment Trusts
FGV,5222,True,Plantation
SUNWAY,5211,True,Diversified Industrials
BKAWAN,1899,True,Plantation
AXREIT,5106,True,Real Estate Investment Trusts
KFIMA,6491,True,Diversified Industrials
IGBB,5606,False,Property
MSTGOLF,5316,True,Retailers
GCB,5102,True,Food & Beverages
DUFU,7233,True,"Industrial Materials, Components & Equipment"
KRETAM,1996,True,Plantation
WILLOW,0008,True,Software
CENSOF,5195,True,Software
UNIQUE,0257,True,Industrial Services
XOXTECH,0017,True,Telecommunications Equipment
LAYHONG,9385,True,Agricultural Products
HPPHB,0228,True,Packaging Materials
FAREAST,5029,True,Plantation
SLP,7248,True,Packaging Materials
AEON,6599,True,Retailers
BIG,7005,True,Diversified Industrials
KLK,2445,True,Plantation
UOAREIT,5110,False,Real Estate Investment Trusts
DAY3,0281,True,Consumer Services
MFLOUR,3662,True,Food & Beverages
EUPE,6815,True,Property
MI,5286,True,Technology Equipment
PANSAR,8419,False,Building Materials
LYSAGHT,9199,False,Metals
TAMBUN,5191,True,Property
TSH,9059,True,Plantation
ATLAN,7048,False,Retailers
COSMOS,0261,True,Industrial Services
TIMWELL,7854,True,Wood & Wood Products
OCK,0172,True,Telecommunications Service Providers
TMCLIFE,0101,True,Health Care Providers
HIGHTEC,7033,True,Industrial Engineering
GHLSYS,0021,True,Digital Services
MAHSING,8583,True,Property
ASTINO,7162,True,Building Materials
AMTEL,7031,True,Telecommunications Equipment
KPS,5843,True,Diversified Industrials
MISC,3816,True,Transportation & Logistics Services
MUH,9539,True,Property
MAGNUM,3859,False,"Travel, Leisure & Hospitality"
OWG,5260,True,"Travel, Leisure & Hospitality"
PARAMON,1724,True,Property
APB,5568,True,Industrial Engineering
PCHEM,5183,True,Chemicals
PJBUMI,7163,True,Industrial Services
TENAGA,5347,True,Electricity
ALAQAR,5116,True,Real Estate Investment Trusts
SURIA,6521,True,Transportation & Logistics Services
SUCCESS,7207,True,"Industrial Materials, Components & Equipment"
ASIAFLE,7129,True,Consumer Services
INSAS,3379,False,Other Financials
PPB,4065,True,Food & Beverages
YTLREIT,5109,False,Real Estate Investment Trusts
JHM,0127,True,Semiconductors
E&O,3417,True,Property
CHINAETF-MYR,0829EA,False,Equity Fund
UNISEM,5005,True,Semiconductors
HLCAP,5274,False,Other Financials
MHC,5026,True,Plantation
MENANG,1694,True,Property
KOBAY,6971,True,"Industrial Materials, Components & Equipment"
AYS,5021,True,Building Materials
EITA,5208,True,"Industrial Materials, Components & Equipment"
TRC,5054,True,Construction
AVALAND,5182,True,Property
NGGB,7241,True,Industrial Services
CWG,9423,True,Consumer Services
LUXCHEM,5143,True,Chemicals
KRONO,0176,True,Digital Services
ILB,5614,False,Transportation & Logistics Services
UCREST,0005,True,Technology Equipment
GENP,2291,True,Plantation
HSPLANT,5138,True,Plantation
ARBB,7181,True,Software
TELADAN,0230,True,Property
FIMACOR,3107,True,Industrial Services
HPMT,5291,True,"Industrial Materials, Components & Equipment"
AFFIN,5185,False,Banking
SMILE,03023,True,Health Care Providers
MAG,0095,True,Food & Beverages
DPIH,0205,False,Houshold Goods
KENANGA,6483,False,Other Financials
BJLAND,4219,False,"Travel, Leisure & Hospitality"
PGB,0091,True,"Energy, Infrastructure, Equipment & Services"
UPA,7757,True,Consumer Services
EMICO,9091,True,Consumer Services
VOLCANO,0232,True,Industrial Services
GMUTUAL,9962,True,Property
KARYON,0054,True,Chemicals
TRIMODE,0199,True,Transportation & Logistics Services
MSNIAGA,5011,True,Digital Services
METROD,6149,False,Metals
CSCSTEL,5094,True,Metals
MCEMENT,3794,True,Building Materials
IOIPG,5249,False,Property
BRIGHT,9938,False,Packaging Materials
ZHULIAN,5131,True,Consumer Services
KPSCB,9121,True,Wood & Wood Products
CSCENIC,7202,True,Houshold Goods
UOADEV,5200,True,Property
UMSNGB,7227,False,"Industrial Materials, Components & Equipment"
GESHEN,7197,False,"Industrial Materials, Components & Equipment"
SBAGAN,2569,False,Plantation
MKH,6114,True,Property
LEONFB,5232,False,Metals
MBSB,1171,True,Other Financials
DKLS,7528,True,Construction
PLABS,0171,False,Agricultural Products
S&FCAP,8745,True,Wood & Wood Products
ECOWLD,8206,True,Property
SENTRAL,5123,False,Real Estate Investment Trusts
MAYBULK,5077,False,Transportation & Logistics Services
WASCO,5142,True,"Energy, Infrastructure, Equipment & Services"
PLENITU,5075,True,Property
D&O,7204,True,Semiconductors
XL,7121,True,Consumer Services
SIMEPROP,5288,True,Property
ASIABRN,7722,True,Personal Goods
PLYTEC,0289,True,
KLUANG,2453,False,Plantation
SUNZEN,0148,False,Agricultural Products
BESHOM,7668,False,Retailers
GLOTEC,5220,True,"Industrial Materials, Components & Equipment"
BCB,6602,True,Property
SOLID,5242,True,Automotive
CJCEN,7117,True,Transportation & Logistics Services
DOMINAN,7169,True,Wood & Wood Products
CABNET,0191,True,Technology Equipment
BPLANT,5254,True,Plantation
MYTECH,7692,False,Metals
TONGHER,5010,True,Metals
CORAZA,0240,True,Industrial Engineering
CMSB,2852,True,Building Materials
KIALIM,6211,True,Building Materials
GDB,0198,True,Construction
OCB,5533,True,Food & Beverages
L&G,3174,True,Property
SMETRIC,0203,True,Software
APM,5015,True,Auto Parts
ACO,0218,True,Industrial Services
JKGLAND,6769,True,Property
MALPAC,4936,False,Plantation
FACBIND,2984,False,Metals
MBRIGHT,2097,True,"Travel, Leisure & Hospitality"
STRAITS,0080,True,Transportation & Logistics Services
BINACOM,0195,True,Telecommunications Service Providers
MITRA,9571,True,Construction
EMCC,0286,False,Other Financials
WELLS,0271,True,Food & Beverages
PRESTAR,9873,True,Metals
TNLOGIS,8397,True,Transportation & Logistics Services
GBGAQRS,5226,True,Construction
ACME,7131,True,Property
OCNCASH,0049,True,Personal Goods
PBA,5041,True,"Gas, Water & Multi-Utilities"
SHH,7412,True,Houshold Goods
EDGENTA,1368,True,Industrial Services
EVD,0174,True,Software
TURIYA,4359,True,Semiconductors
LOTUS,8303,True,Food & Beverages
CYBERE,5166,True,Consumer Services
SHCHAN,4316,True,Plantation
IQGROUP,5107,True,Houshold Goods
KNUSFOR,5035,True,Industrial Services
MANULFE,1058,False,Insurance
TUNEPRO,5230,False,Insurance
MAYU,7099,True,Metals
ECOFIRS,3557,True,Property
EURO,7208,True,Consumer Services
KAREX,5247,True,Personal Goods
UMCCA,2593,True,Plantation
IGBCR,5299,False,Real Estate Investment Trusts
SEAL,4286,False,Property
GUOCO,1503,True,Property
NSOP,2038,True,Plantation
CGB,8052,True,Packaging Materials
NPC,5047,True,Plantation
WANGZNG,7203,True,Houshold Goods
SUPERLN,7235,True,Building Materials
