stock_full_name,stock_name,stock_code,is_shariah,category
ALLIANZ MALAYSIA BERHAD,ALLIANZ,1163,False,Insurance
QL RESOURCES BERHAD,QL,7084,True,Agricultural Products
ANCOM NYLEX BERHAD,ANCOMNY,4758,True,Chemicals
SCIENTEX BERHAD,SCIENTX,4731,True,Packaging Materials
ASIA MEDIA GROUP BERHAD,AMEDIA,0159,True,Media
RGB INTERNATIONAL BHD,RGB,0037,False,"Travel, Leisure & Hospitality"
LAGENDA PROPERTIES BERHAD,LAGENDA,7179,True,Property
OPENSYS (M) BERHAD,OPENSYS,0040,False,Software
LPI CAPITAL BHD,LPI,8621,False,Insurance
MAGNI-TECH INDUSTRIES BHD,MAGNI,7087,True,Personal Goods
PAN MALAYSIA CORPORATION BERHAD,PMCORP,4081,False,"Travel, Leisure & Hospitality"
MCE HOLDINGS BERHAD,MCEHLDG,7004,True,Auto Parts
LEONG HUP INTERNATIONAL BERHAD,LHI,6633,False,Agricultural Products
INTA BINA GROUP BERHAD,INTA,0192,True,Construction
PETRONAS GAS BERHAD,PETGAS,6033,True,"Gas, Water & Multi-Utilities"
VITROX CORPORATION BERHAD,VITROX,0097,True,Semiconductors
BP PLASTICS HOLDING BHD,BPPLAS,5100,True,Packaging Materials
DAYANG ENTERPRISE HOLDINGS BERHAD,DAYANG,5141,True,"Energy, Infrastructure, Equipment & Services"
KINERGY ADVANCEMENT BERHAD,KAB,0193,True,Industrial Engineering
YTL CORPORATION BERHAD,YTL,4677,False,"Gas, Water & Multi-Utilities"
SOLARVEST HOLDINGS BERHAD,SLVEST,0215,True,Industrial Services
PETRA ENERGY BHD,PENERGY,5133,True,"Energy, Infrastructure, Equipment & Services"
HARBOUR-LINK GROUP BERHAD,HARBOUR,2062,True,Transportation & Logistics Services
IGB REAL ESTATE INVESTMENT TRUST,IGBREIT,5227,False,Real Estate Investment Trusts
PENTAMASTER CORPORATION BERHAD,PENTA,7160,True,Technology Equipment
PWF CORPORATION BERHAD,PWF,7134,True,Agricultural Products
SIGNATURE INTERNATIONAL BERHAD,SIGN,7246,True,Houshold Goods
AME ELITE CONSORTIUM BERHAD,AME,5293,True,Construction
ECM LIBRA GROUP BERHAD,ECM,2143,False,Other Financials
ORIENTAL FOOD INDUSTRIES HOLDINGS BERHAD,OFI,7107,True,Food & Beverages
AME REAL ESTATE INVESTMENT TRUST,AMEREIT,5307,True,Real Estate Investment Trusts
DKSH HOLDINGS(M)BHD,DKSH,5908,True,Consumer Services
PUBLIC PACKAGES HOLDINGS BHD,PPHB,8273,True,Packaging Materials
P.I.E. INDUSTRIAL BHD,PIE,7095,True,"Industrial Materials, Components & Equipment"
KUMPULAN KITACON BERHAD,KITACON,5310,True,Construction
JAYA TIASA HOLDINGS BHD,JTIASA,4383,True,Plantation
PUBLIC BANK BERHAD,PBBANK,1295,False,Banking
MEGA FIRST CORPORATION BERHAD,MFCB,3069,True,Electricity
KRETAM HOLDINGS BERHAD,KRETAM,1996,True,Plantation
CHIN HIN GROUP BERHAD,CHINHIN,5273,True,Building Materials
KYM HOLDINGS BERHAD,KYM,8362,True,Packaging Materials
MOBILIA HOLDINGS BERHAD,MOBILIA,0229,True,Houshold Goods
ABLE GLOBAL BERHAD,ABLEGLOB,7167,True,Food & Beverages
CARIMIN PETROLEUM BERHAD,CARIMIN,5257,True,"Energy, Infrastructure, Equipment & Services"
MATRIX CONCEPTS HOLDINGS BERHAD,MATRIX,5236,True,Property
THETA EDGE BERHAD,THETA,9075,True,Digital Services
TOMEI CONSOLIDATED BERHAD,TOMEI,7230,True,Retailers
